Km,FinalDePlaca,UnicoDono,AceitaTrocas,ArCondicionado,AirBag,Alarme,TravaEletrica,VidroEletrico,Som,SensorDeRe,CameraDeRe,Blindado,KmPorDias,NumOpcionais,KmSqrt,PotenciaNum,PrecoFipe,DifMarca,DifTipo,DifAno,DifPotencia,DifNumOpcionais,DifCombustivel,DifDirecao,DifUF,PrecoFipeLog,PrecoFipeAjustado,KmSqrtPorDias,UF_AC,UF_AL,UF_AM,UF_AP,UF_BA,UF_CE,UF_DF,UF_ES,UF_GO,UF_MA,UF_MG,UF_MS,UF_MT,UF_PA,UF_PB,UF_PE,UF_PI,UF_PR,UF_RJ,UF_RN,UF_RO,UF_RR,UF_RS,UF_SC,UF_SE,UF_SP,UF_TO,Combustivel_Diesel,Combustivel_Elétrico,Combustivel_Flex,Combustivel_Gasolina,Combustivel_Gás Natural,Combustivel_Híbrido,Combustivel_Álcool,Cambio_Automático,Cambio_Manual,Cambio_Semi-Automático,Direcao_Assistida,Direcao_Elétrica,Direcao_Hidráulica,Direcao_Mecânica,Cor_Amarelo,Cor_Azul,Cor_Branco,Cor_Cinza,Cor_Laranja,Cor_Outra,Cor_Prata,Cor_Preto,Cor_Verde,Cor_Vermelho,Preco
31301,8,1,1,1,1,1,1,1,1,1,1,0,42.70259208731242,8,176.92088627406318,2.5,145134.0,0.00956296744969978,0.010804681689887368,0.005491513144984827,0.01868879039576767,0.006772306931705351,0.016763120556773172,0.013335020810247232,-0.0007896476536903266,11.885412732581187,156835.973485125,0.2413654655853522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139990.0
59000,4,1,1,1,1,1,1,1,1,1,1,0,40.30054644808743,8,242.8991560298224,2.5,210589.0,0.014241242552075076,0.02825039662027111,-0.0006634583716160348,0.01868879039576767,0.006772306931705351,0.016763120556773172,0.021329956439484217,0.026376561889529554,12.25766364559899,238335.97857505915,0.16591472406408633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,199990.0
148000,0,1,1,1,1,1,1,1,1,0,0,0,67.4567000911577,6,384.7076812334269,1.0,45870.0,0.017677166281148602,0.018920821941910963,0.016612454669624722,0.02078628785207525,0.016419571121664762,0.016763120556773172,0.021329956439484217,0.026376561889529554,10.733566587591218,52974.618102303924,0.17534534240356742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,48900.0
47000,4,1,1,1,1,1,1,1,0,0,0,0,32.10382513661202,5,216.794833886788,1.5,54288.0,0.022954087102731346,0.022530528391223943,-0.0006634583716160348,0.013330578656556765,0.02547701996235689,0.016763120556773172,0.013335020810247232,0.026376561889529554,10.90205848702401,61893.93658207272,0.1480839029281339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54900.0
22000,6,1,1,1,1,1,1,1,1,0,0,0,20.018198362147405,6,148.32396974191326,1.0,58473.0,0.014693137444062499,0.014503026935153311,0.008037767398910984,0.02078628785207525,0.016419571121664762,0.016763120556773172,0.013335020810247232,0.0044907805450334955,10.97632038821675,64848.23591559743,0.1349626658252168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,60990.0
56307,2,1,1,1,1,1,1,1,1,1,1,0,38.46106557377049,8,237.2909606369361,2.5,210389.0,0.014693137444062499,0.02583092052391679,-0.0006634583716160348,0.01868879039576767,0.006772306931705351,0.019795163925504306,0.013335020810247232,0.00826309264388416,12.256713477110152,232840.65672873319,0.1620839895061039,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,209990.0
52000,5,1,1,1,1,0,1,1,1,0,0,0,47.31574158325751,5,228.0350850198276,1.0,56714.0,0.022954087102731346,0.018920821941910963,0.008037767398910984,0.02078628785207525,0.02547701996235689,0.016763120556773172,0.013335020810247232,0.017580750475193196,10.94577637281795,64872.58544314669,0.20749325297527532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,52900.0
4000,3,1,1,1,1,1,1,1,1,1,1,0,10.869565217391305,8,63.24555320336759,2.5,233084.0,0.00956296744969978,0.010804681689887368,0.05767261875431554,0.01868879039576767,0.006772306931705351,0.019795163925504306,0.013335020810247232,0.00826309264388416,12.35915418259937,266856.6228760142,0.1718629163134989,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,234900.0
58742,7,1,1,1,0,1,1,1,0,0,0,0,40.12431693989071,4,242.36748956904265,1.6,69230.0,0.017988979941770417,0.022530528391223943,-0.0006634583716160348,0.015696781172295508,0.024815223772962195,0.016763120556773172,0.021329956439484217,0.026376561889529554,11.145189573672072,79257.11354124945,0.1655515639132805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73130.0
87144,5,0,1,1,1,1,1,1,0,0,0,0,29.792820512820512,5,295.201626011782,1.6,50854.0,0.017988979941770417,0.018920821941910963,0.029584207835046596,0.015696781172295508,0.02547701996235689,0.016763120556773172,0.021329956439484217,0.02916979054038532,10.836714061116485,59749.92471884623,0.10092363282454087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49900.0
