Modelo,CodModelo,Marca,CodMarca
Q5 3.0 V6 TFSI 272cv Quattro Tiptronic,6486,AUDI,6
Q5 3.2 FSI V6 Quattro S Tronic,4959,AUDI,6
Q5 Ambiente 2.0 TFSI Quattro S tronic,8036,AUDI,6
Q5 Ambition 2.0 TFSI Quattro S tronic,8037,AUDI,6
Q5 Attraction 2.0 TFSI Quattro S tronic,8038,AUDI,6
Q5 Black 2.0 TFSI Quattro S tronic,8583,AUDI,6
Q5 Prestige 2.0 TFSI Quattro S tronic,8584,AUDI,6
Q5 Prestige Plus 2.0 TFSI Quat. S tronic,8585,AUDI,6
Q5 S-Line 2.0 TFSI Quattro S-tronic,8773,AUDI,6
Q5 S-Line Black 2.0 TFSI Quat. S-Tronic,9486,AUDI,6
Q5 SPB. S-Line Black 2.0 TFSI Qua.S-Tron,9526,AUDI,6
Q5 Sportback S-Line 2.0 TFSI Quat.S-Tron,9527,AUDI,6
Q7 3.0 V6 TDI Quat.Tip. 5p Die./Perfor.,7917,AUDI,6
Q7 3.0 V6 TFSI  Quat.Tip.5p/ Performance,5445,AUDI,6
Q7 3.6 V6 284cv Quattro Tiptronic,4694,AUDI,6
Q7 4.2 V8 40V 350cv Quattro Tiptronic,4184,AUDI,6
Q7 Perf. Black 3.0 V6 TFSI Quat.Tip. 5p,8659,AUDI,6
Q7 Perf.Black 3.0 TDI Quat.Tip.5p Dies.,8658,AUDI,6
Q7 S-Line 3.0 V6 TFSI Quattro Tiptronic,9205,AUDI,6
Q8 Perf.Black 3.0 TFSI Quattro S-tronic,9290,AUDI,6
Q8 Performance 3.0 TFSI Quattro S-tronic,9291,AUDI,6
R8 4.2 V8 426cv Quattro R-tronic,5235,AUDI,6
R8 5.2 V10 Quattro R-tronic/S-tronic,5236,AUDI,6
R8 GT 5.2 V10 560cv Quattro R-tronic,5974,AUDI,6
R8 Spyder 5.2 Quattro R-tronic/S-tronic,5550,AUDI,6
RS E-TRON GT Quattro Aut. (Elétrico),9606,AUDI,6
RS Q3 2.5 TFSI Quattro S-tronic 5p,6865,AUDI,6
RS Q3 Sportback 2.5 TFSI Quattro S-tron.,9292,AUDI,6
RS Q8 4.0 Bi-TB V8 FSI Quattro Tiptronic,9224,AUDI,6
RS3 Sedan 2.5 TFSI Quattro S-tronic,8175,AUDI,6
RS3 Sportback 2.5 TFSI Quattro S-tronic,5922,AUDI,6
RS4 2.7 Avant V6 30V BI-TB Quattro 380cv,130,AUDI,6
RS4 2.9 Avant V6 TFSI Quattro Tiptronic,8628,AUDI,6
RS4 4.2 Avant 32V FSI Quattro S-tronic,6487,AUDI,6
RS5 4.2 FSI V8 450cv Quattro S-Tron. 2p,5410,AUDI,6
RS5 Coupê 2.9 V6 TFSI Quattro Tiptronic,8629,AUDI,6
RS5 Sportback 2.9 V6 TFSI Quattro Tip.,9247,AUDI,6
RS6 4.0 Avant TFSI BI-TB Quattro Tip. 5p,6690,AUDI,6
RS6 4.2 450cv BI-TB Quattro Tiptronic 4p,131,AUDI,6
RS6 4.2 Avant  BI-TB Quattro Tiptron. 5p,132,AUDI,6
RS6 5.0 Avant.FSI V10 Bi-TB Quattro Tip.,5335,AUDI,6
RS6 5.0 FSI V10 Bi-TB Quattro Tip.,5336,AUDI,6
RS7 Sportback 4.0 TFSI Quattro Tiptronic,6883,AUDI,6
S Q5 3.0 V6 TFSI 354cv Quattro Tiptronic,6769,AUDI,6
S3 1.8 225cv Turbo Quattro,133,AUDI,6
S3 Sedan 2.0 TFSI Quattro 286cv S-tronic,6951,AUDI,6
S3 Sportback 2.0 TFSI Quattro S Tronic,5127,AUDI,6
S4 2.7 Avant Turbo Quattro,134,AUDI,6
S4 2.7 Turbo Quattro Mec.,135,AUDI,6
S4 3.0 Avant TFSI V6 24V Quattro Stronic,6085,AUDI,6
S4 3.0 TFSI V6 24V Quattro Stronic,6086,AUDI,6
S4 4.2 Avant V8 40V 344cv Quattro Tipt.,136,AUDI,6
S4 4.2 V8 40V 344cv Quattro Tiptronic,137,AUDI,6
S5 Cabriolet 3.0 TFSI Quattro Stronic,6087,AUDI,6
S5 Coupê 3.0 TFSI Quattro Stronic,6088,AUDI,6
S5 Sportback 3.0 TFSI Quattro Stronic,6089,AUDI,6
S6 2.2 20V TB,138,AUDI,6
S6 2.2 Avant 20V TB,139,AUDI,6
S6 4.0 TFSI Quattro S-Tronic 4p,7302,AUDI,6
S6 4.2 Avant V8 40V Quattro Tiptronic,140,AUDI,6
S6 4.2 V8 40V Quattro Mec,141,AUDI,6
S6 4.2 V8 40V Quattro Tiptronic,142,AUDI,6
S6 5.2 Avant FSI V10 435cv Quattro Tiptr,5186,AUDI,6
S6 5.2 FSI V10 435cv Quattro Tiptronic,5187,AUDI,6
S6 Plus 4.2 Avant V8 32V,143,AUDI,6
S6 Plus 4.2 V8 32V,144,AUDI,6
S7 4.0 TFSI 420/450cv Quattro S-tronic,6632,AUDI,6
S8 4.0 TFSI Quattro Tiptronic 4p,7128,AUDI,6
S8 4.2 Mec,145,AUDI,6
S8 4.2 Quattro Mec.,146,AUDI,6
S8 4.2 Quattro Tiptronic,147,AUDI,6
S8 4.2 Tiptronic,148,AUDI,6
TT 1.8 TB 180cv,149,AUDI,6
TT 1.8 TB Quattro 225cv,150,AUDI,6
TT 2.0 16v TFSI S-Tronic,4330,AUDI,6
TT Roadster 1.8 TB Quattro 225cv (Conv.),151,AUDI,6
TT Roadster 2.0 16v TFSI S-Tronic,4431,AUDI,6
TTRS 2.5 TFSI QUATTRO S Tronic,6258,AUDI,6
TTRS Roadster 2.5 TB FSI Quat. S Tronic,6259,AUDI,6
TTS 2.0 TFSI QUATTRO S Tronic,5128,AUDI,6
TTS Roadster 2.0 TB FSI Quattro S Tronic,5129,AUDI,6
Buggy 1.6 2-Lug.,8274,BABY,207
Buggy 1.6/ TST/ RS 1.6 4-Lug.,8275,BABY,207
Buggy RS Evolution 1.8 8V,8276,BABY,207
116iA 1.6 TB 16V 136cv 5p,6146,BMW,7
118i Sport 1.5 TB 12V Aut. 5p,8946,BMW,7
118iA 2.0 16V 136cv 3p,5576,BMW,7
118iA 2.0 16V 136cv 5p,4960,BMW,7
118iA Full 1.6 TB 16V 170cv 5p,6147,BMW,7
118iA/ Urban/Sport 1.6 TB 16V 170cv 5p,5923,BMW,7
120i 2.0 16V 150cv/ 156cv 5p,152,BMW,7
120iA 2.0 16V 150cv/ 156cv 5p,153,BMW,7
120iA 2.0 16V 156cv 3p,4700,BMW,7
120iA Cabrio 2.0 16V 156cv 2p,4683,BMW,7
120iA Sport 2.0/ActiveFlex 16V Aut.,7178,BMW,7
125i M Sport/Active Flex 2.0 TB Aut. 5p,6377,BMW,7
130i 3.0 24V 265cv 5p,3879,BMW,7
130iA 3.0 24V 265cv 3p,4473,BMW,7
130iA 3.0 24V 265cv 5p,4199,BMW,7
135iA Coupé 3.0 24V 306cv,4961,BMW,7
218i Gran Coupe Sport GP 1.5 Bi-Turbo,9036,BMW,7
220i Tourer Active Flex 2.0 TB Aut.,7448,BMW,7
225i Active Tourer Sport 2.0 TB Aut.,7129,BMW,7
316 (todas),154,BMW,7
316i 1.6 TB 16V 136cv 4p,6660,BMW,7
318i Cabrio 1.8 16V,155,BMW,7
318i/iA 1.8 16V,156,BMW,7
318i/iA Compact 1.8 16V,157,BMW,7
318iA 2.0 16V 136cv 5p,5607,BMW,7
318iS/ISA 1.9 16V,158,BMW,7
318Ti Compact Mec,159,BMW,7
318Ti/TiA Compact 1.9 16V,160,BMW,7
320i,161,BMW,7
320iA,162,BMW,7
320iA 2.0 TB M Sport A.Flex/M.Sport 4p,7256,BMW,7
320iA 2.0 Turbo/ActiveFlex 16V/GP  4p,6090,BMW,7
320iA GT Sport 2.0 Turbo 16V 184cv 5p,6609,BMW,7
320iA Modern/Sport TB 2.0/A.Flex/GP 4p,6091,BMW,7
323Ci Coupê,163,BMW,7
323CiA Coupê,164,BMW,7
323i 2.5 24V,165,BMW,7
323i Confort,166,BMW,7
323i Sport,167,BMW,7
323i Touring,168,BMW,7
323i/iA Exclusive,172,BMW,7
323iA 2.5 24V,169,BMW,7
323iA Confort,170,BMW,7
323iA Entry Sedan,171,BMW,7
323iA Sport,173,BMW,7
323iA Top Sedan,174,BMW,7
323iA Touring,175,BMW,7
323Ti Compact,176,BMW,7
323Ti Compact Sport,177,BMW,7
323TiA Compact Top,178,BMW,7
325i,179,BMW,7
325i/iA Cabrio,180,BMW,7
325iA,181,BMW,7
325iA 2.5 24V Protection,182,BMW,7
325iA Coupé 2.5 24V 2p,183,BMW,7
325iA Touring,3955,BMW,7
328i Exclusive 2.8 24V,184,BMW,7
328i Touring/Sport,185,BMW,7
328i/iA (modelo antigo),186,BMW,7
328i/iA (novo modelo),187,BMW,7
328i/iA Cabrio,188,BMW,7
328iA 2.0 TB/2.0 TB Flex 16V 4p,6046,BMW,7
328iA Exclusive 2.8 24V,189,BMW,7
328iA GT M Sport 2.0 Turbo 16V 245cv 5p,6633,BMW,7
328iA Luxury/Modern 2.0 TB 16V 4p,6047,BMW,7
328iA M Sport 2.0 16V Flex 4p,7303,BMW,7
328iA Plus 2.0 TB 16V 245cv 4p,6048,BMW,7
328iA Sport 2.0 16V/2.0 16V Flex 4p,6049,BMW,7
328iA Touring/Sport,190,BMW,7
330Ci Cabriolet,191,BMW,7
330CiA Cabriolet,192,BMW,7
330e M Sport 2.0 Turbo Híbrido Aut.,9079,BMW,7
330i M Sport 2.0 TB 16V 4p,8630,BMW,7
330i MotorSport 3.0 24V 4p,193,BMW,7
330i Sport 2.0 TB 16V 4p,8688,BMW,7
330iA Exclusive 3.0 24V 4p,3956,BMW,7
330iA MotorSport 4p,194,BMW,7
330iA Top 4p,195,BMW,7
335i 3.0 ActiveHybrid 3,6512,BMW,7
335iA 3.0 24V 306cv,4272,BMW,7
335iA Cabriolet 3.0 24V 306cv,4416,BMW,7
335iA M Sport 3.0 24V 306cv 4p,6513,BMW,7
335iA Sport 3.0 24V 306cv 4p,6148,BMW,7
420i Cabriolet M Sport 2.0 TB 16V 2p.,9785,BMW,7
420i Cabriolet Sport 2.0 TB 184cv 2p,7083,BMW,7
428i Cabriolet Sport 2.0 TB 245cv 2p,6952,BMW,7
428i Gran Coupe M Sport 2.0 TB 245cv,7084,BMW,7
428i Gran Coupe Sport 2.0 TB 245cv,7085,BMW,7
430i Cab. Sport Limited Ed.2.0 TB 2p,7728,BMW,7
430i Cabriolet M Sport 2.0 TB 258cv 2p,9442,BMW,7
430i Cabriolet Sport 2.0 TB 252cv 2p,7875,BMW,7
430i Gran Coupé M Sport TB 5p,7729,BMW,7
435iA M Sport Coupe 3.0 24V 306cv 2p,6691,BMW,7
520i 2.0 16V,196,BMW,7
525i/iA,197,BMW,7
525i/iA Touring,198,BMW,7
528i/iA,199,BMW,7
528iA 2.0 Turbo 16V 245cv 4p,6149,BMW,7
